LISTA DE PRECATORIOS LOA 2027 (input bruto enviado por Marcos em 05/05/2026)

ordem	cnj_19_digitos	valor_brl
(sem)	1687386020254019198	119.179.000,05
1705	1683168520254019198	25.679.565,73
1695	1681323220254019198	126.740.315,61
1574	1666929820254019198	23.594.343,72
1659	1678153420254019198	42.296.067,54
1660	1678327020254019198	21.483.826,92
1608	1670896020254019198	140.053.568,72
1609	1671918220254019198	68.399.404,30
1589	1668497120254019198	99.028.489,41
1590	1668505620254019198	135.848.606,40
1591	1668514120254019198	110.795.906,84
1592	1668522620254019198	120.332.955,10
4	2152261020244019198	205.286,80
5	2152373920244019198	187.518,56
6	2154383120244019198	121.056,71
7	2154391620244019198	151.362,67
8	2154409820244019198	371.922,65
9	2154418320244019198	293.523,38
10	2154426820244019198	40.969,52
