"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"152290264222026NS000012";"152290264222025NE000057";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"0,00"
"152290264222026NS000016";"152290264222025NE000091";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"0,00"
"152290264222026NS000018";"152290264222025NE000091";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"0,00"
"153114152352026NS000682";"153114152352025NE001738";"33901804";"AUXILIOS PARA DESENV. DE ESTUDOS E PESQUISAS";"0,00";"0,00";"0,00";"0,00"
"154047152642026NS000110";"154047152642025NE002443";"33904023";"EMISSAO DE CERTIFICADOS DIGITAIS";"0,00";"0,00";"0,00";"0,00"
"154047152642026NS000125";"154047152642025NE002351";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"154047152642026NS000125";"154047152642025NE002442";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"154047152642026NS000125";"154047152642025NE002441";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"154047152642026NS000125";"154047152642025NE002440";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"154047152642026NS000125";"154047152642025NE002434";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"0,00"
"155900264432026NS000331";"155900264432025NE001718";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"155900264432026NS000350";"155900264432025NE001734";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155900264432026NS000352";"155900264432025NE001785";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155912264432026NS000090";"155007264432025NE000633";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"158138264172026NS000057";"158138264172024NE000587";"33904016";"OUTSOURCING DE IMPRESSAO";"0,00";"0,00";"0,00";"0,00"
"158138264172026NS000062";"158138264172025NE000333";"33903209";"MATERIAL PARA DIVULGACAO";"0,00";"0,00";"0,00";"0,00"
"158138264172026NS000063";"158138264172025NE000638";"44905212";"APARELHOS E UTENSILIOS DOMESTICOS";"0,00";"0,00";"0,00";"0,00"
"179103000012026NS000003";"179103000012026NE000001";"33903905";"SERVICOS TECNICOS PROFISSIONAIS";"19343,68";"0,00";"0,00";"0,00"
"195002112012026NS000023";"195002112012023NE531084";"44905191";"OBRAS EM ANDAMENTO";"0,00";"0,00";"0,00";"0,00"
"200126000012026NS000179";"200126000012025NE000009";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"200126000012026NS000189";"200126000012025NE000050";"33903937";"JUROS E MULTA DE MORA";"0,00";"0,00";"0,00";"0,00"
"200126000012026NS000189";"200126000012025NE000009";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"0,00"
"275075272112026NS000185";"275075272112025NE000073";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"0,00";"0,00";"0,00";"0,00"
"275075272112026NS000270";"275075272112025NE000216";"33903301";"PASSAGENS PARA O PAIS";"0,00";"0,00";"0,00";"0,00"
