"Id Empenho";"Código Empenho";"Código Empenho Resumido";"Data Emissão";"Código Tipo Documento";"Tipo Documento";"Tipo Empenho";"Espécie Empenho";"Código Órgão Superior";"Órgão Superior";"Código Órgão";"Órgão";"Código Unidade Gestora";"Unidade Gestora";"Código Gestão";"Gestão";"Código Favorecido";"Favorecido";"Observação";"Código Esfera Orçamentária";"Esfera Orçamentária";"Código Tipo Crédito";"Tipo Crédito";"Código Grupo Fonte Recurso";"Grupo Fonte Recurso";"Código Fonte Recurso";"Fonte Recurso";"Código Unidade Orçamentária";"Unidade Orçamentária";"Código Função";"Função";"Código SubFunção";"SubFunção";"Código Programa";"Programa";"Código Ação";"Ação";"Linguagem Cidadã";"Código Subtítulo (Localizador)";"Subtítulo (Localizador)";"Código Plano Orçamentário";"Plano Orçamentário";"Código Programa Governo";"Nome Programa Governo";"Autor Emenda";"Código Categoria de Despesa";"Categoria de Despesa";"Código Grupo de Despesa";"Grupo de Despesa";"Código Modalidade de Aplicação";"Modalidade de Aplicação";"Código Elemento de Despesa";"Elemento de Despesa";"Processo";"Modalidade de Licitação";"Inciso";"Amparo";"Referência de Dispensa ou Inexigibilidade";"Código Convênio";"Contrato de Repasse / Termo de Parceria / Outros";"Valor Original do Empenho";"Valor do Empenho Convertido pra R$";"Valor Utilizado na Conversão"
"565490507";"155230264092025NE000166";"2025NE000166";"01/01/2025";"NE";"Nota de Empenho";"Global";"Não se aplica";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e T";"155230";"INST.FED.MINAS GERAIS/CAMPUS OURO BRANCO";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"03925139000134";"MP TERCEIRIZACAO E SERVICOS LTDA";"";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"0";"Codigo Inexistente No Siafi";"00";"RECURSOS ORDINARIOS";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"12";"Educação";"363";"Ensino profissional";"5112";"EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"21B3";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO, INOVACAO E SUSTENTABILIDADE NA EDUCACAO PROFISSIONAL E TECNOLOGICA";"";"21B30031";"FOMENTO AS ACOES DE ENSINO, PESQUISA, - NO ESTADO DE MINAS G";"0000";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO NA EDUCACAO PROFISSIONAL E TECNOLOGICA - DESPESAS DIVERSAS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"37";"Locação de Mão-de-Obra";"23712.001611/2023-49";"Pregão";"SI";"LEI 14.133/2021";"-2";"-1";"NAO SE APLICA";"6000,00";"6000,00";"1,0000"
"565522562";"155230264092025NE000165";"2025NE000165";"01/01/2025";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e T";"155230";"INST.FED.MINAS GERAIS/CAMPUS OURO BRANCO";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"10667812000149";"ROMESTUR - SERVICO DE TRANSPORTE E TURISMO LTDA";"";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"0";"Codigo Inexistente No Siafi";"00";"RECURSOS ORDINARIOS";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"12";"Educação";"363";"Ensino profissional";"5112";"EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"21B3";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO, INOVACAO E SUSTENTABILIDADE NA EDUCACAO PROFISSIONAL E TECNOLOGICA";"";"21B30031";"FOMENTO AS ACOES DE ENSINO, PESQUISA, - NO ESTADO DE MINAS G";"0000";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO NA EDUCACAO PROFISSIONAL E TECNOLOGICA - DESPESAS DIVERSAS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"33";"Passagens e Despesas com Locomoção";"23712.001402/2025-67";"Dispensa de Licitação";"II";"LEI 14.133 / 2021";"-2";"-1";"NAO SE APLICA";"3000,00";"3000,00";"1,0000"
"565530930";"155230264092025NE000162";"2025NE000162";"01/01/2025";"NE";"Nota de Empenho";"Global";"Não se aplica";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e T";"155230";"INST.FED.MINAS GERAIS/CAMPUS OURO BRANCO";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"10667812000149";"ROMESTUR - SERVICO DE TRANSPORTE E TURISMO LTDA";"";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"0";"Codigo Inexistente No Siafi";"00";"RECURSOS ORDINARIOS";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"12";"Educação";"363";"Ensino profissional";"5112";"EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"21B3";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO, INOVACAO E SUSTENTABILIDADE NA EDUCACAO PROFISSIONAL E TECNOLOGICA";"";"21B30031";"FOMENTO AS ACOES DE ENSINO, PESQUISA, - NO ESTADO DE MINAS G";"0000";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO NA EDUCACAO PROFISSIONAL E TECNOLOGICA - DESPESAS DIVERSAS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"33";"Passagens e Despesas com Locomoção";"23712.001402/2025-67";"Dispensa de Licitação";"II";"LEI 14.133 / 2021";"-2";"-1";"NAO SE APLICA";"8000,00";"8000,00";"1,0000"
"565487935";"155230264092025NE000161";"2025NE000161";"01/01/2025";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e T";"155230";"INST.FED.MINAS GERAIS/CAMPUS OURO BRANCO";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"10667812000149";"ROMESTUR - SERVICO DE TRANSPORTE E TURISMO LTDA";"";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"0";"Codigo Inexistente No Siafi";"00";"RECURSOS ORDINARIOS";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"12";"Educação";"363";"Ensino profissional";"5112";"EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"21B3";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO, INOVACAO E SUSTENTABILIDADE NA EDUCACAO PROFISSIONAL E TECNOLOGICA";"";"21B30031";"FOMENTO AS ACOES DE ENSINO, PESQUISA, - NO ESTADO DE MINAS G";"0000";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO NA EDUCACAO PROFISSIONAL E TECNOLOGICA - DESPESAS DIVERSAS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"33";"Passagens e Despesas com Locomoção";"23712.001402/2025-67";"Dispensa de Licitação";"II";"LEI 14.133 / 2021";"-2";"-1";"NAO SE APLICA";"5440,00";"5440,00";"1,0000"
"565534095";"155230264092025NE000164";"2025NE000164";"01/01/2025";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e T";"155230";"INST.FED.MINAS GERAIS/CAMPUS OURO BRANCO";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"17281106000103";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG";"";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"0";"Codigo Inexistente No Siafi";"00";"RECURSOS ORDINARIOS";"26409";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"12";"Educação";"363";"Ensino profissional";"5112";"EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RL";"FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"PRONATEC";"20RL0031";"FUNCIONAMENTO DAS INSTITUICOES DA RED - NO ESTADO DE MINAS G";"0000";"FUNCIONAMENTO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA - DESPESAS DIVERSAS";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"23712.000679/2025-72";"Dispensa de Licitação";"VIII";"LEI 8.666 / 1993";"-2";"-1";"NAO SE APLICA";"8796,24";"8796,24";"1,0000"
"564449235";"170177000012025NE000334";"2025NE000334";"01/01/2025";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"25000";"Ministério da Fazenda";"25801";"Receita Federal do Brasil";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"96041330000102";"DEPARTAMENTO DE AGUA E ESGOTOS";"CONTRATACAO DE SERVICO DE FORNECIMENTO DE AGUA POTAVEL E DE COLETA E TRATAMENTO DE ESGOTO SANITARIO PARA OS IMOVEIS IRF/SLV E DMVA/SLV. INEXIGIBILIDADE 22/2024, ITEM 4. EMPENHO QUE SUBSTITUI O EMPENHO 2025NE000164.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"39";"Outros Serviços de Terceiros - Pessoa Juríd";"11000.738936/2024-17";"Inexigível";"I";"LEI 14.133/2021";"-2";"-1";"NAO SE APLICA";"2330,00";"2330,00";"1,0000"
"565165277";"170177000012025NE000497";"2025NE000497";"01/01/2025";"NE";"Nota de Empenho";"Global";"Não se aplica";"25000";"Ministério da Fazenda";"25801";"Receita Federal do Brasil";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"02255187000108";"UNIFIQUE TELECOMUNICACOES S/A";"EMPENHO PARA ATENDER SERVICOS DE BANDA LARGA PARA A ARF/CACAPAVA DO SUL (ITEM 1) E SAO GABRIEL (ITENS 2 E 3) - 170183 PR 03/2020 - CONTRATO 06/2020 SUB ROGADO P/ A UG 170177. NOVA FONTE 3032000000.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"3";"Recursos Do Tesouro - Exercicios Anteriores";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"40";"Serviços de Tecnologia da Informação e Com";"11060.724505/2020-27";"Pregão";"SI";"LEI 10.520 / 2002";"-2";"-1";"NAO SE APLICA";"2493,00";"2493,00";"1,0000"
"565197148";"170177000012025NE000500";"2025NE000500";"01/01/2025";"NE";"Nota de Empenho";"Global";"Não se aplica";"25000";"Ministério da Fazenda";"25801";"Receita Federal do Brasil";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"07756651000155";"BRASIL TECPAR SERVICOS DE TELECOMUNICACOES S.A";"ATENDER DESPESAS COM SERVICOS DE BANDA LARGA PARA ACESSO A INTERNET PARA DRF/STM (ITEM 10 E 11), DMVA STM(8 E 9), CACHOEIRA DO SUL (3 E 4), ALEGRETE (1),SANTIAGO (5), C. 05/2020, PR. 05/2020. NOVA FONTE 3032000000.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"3";"Recursos Do Tesouro - Exercicios Anteriores";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"40";"Serviços de Tecnologia da Informação e Com";"11060.724505/2020-27";"Pregão";"SI";"LEI 10.520 / 2002";"-2";"-1";"NAO SE APLICA";"9387,86";"9387,86";"1,0000"
"564068143";"170177000012025NE000248";"2025NE000248";"01/01/2025";"NE";"Nota de Empenho";"Estimativo";"Não se aplica";"25000";"Ministério da Fazenda";"25801";"Receita Federal do Brasil";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"07756651000155";"BRASIL TECPAR SERVICOS DE TELECOMUNICACOES S.A";"CONTRATACAO DE SERVICOS DE TELEFONIA FIXA COMUTADA (STFC),LOCAL, DDI E DDI PARA A DRF/STM E UNIDADES ADM., INCLUINDO ALF/URA E SUAS UNIDADES SUBORDINADAS. C 02/2024 - PR 01/2024  - DESPESAS DE EXERCICIOS ANTERIORES - 2024";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"92";"Despesas de Exercícios Anteriores";"11060729350202368";"Pregão";"SI";"LEI 14.133/2021";"-2";"-1";"NAO SE APLICA";"1938,00";"1938,00";"1,0000"
"563942884";"170177000012025NE000178";"2025NE000178";"01/01/2025";"NE";"Nota de Empenho";"Ordinário";"Não se aplica";"25000";"Ministério da Fazenda";"25801";"Receita Federal do Brasil";"170177";"SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"00001";"TESOURO NACIONAL";"04925768000127";"EESTAR LOCACOES TRANSPORTES, SERVICOS E COMERCIO LTDA";"EMPENHO PARA ATENDER DESP SERVICOS DE OUTSOURCING DE IMPRESSAO, DIGIT.REPR., C/MAIS EXCEDENTE, ASSIST. MANUTENCAO PREVENTIVA/CORRETIVA EM URA E REGIAO. C. 09/2022- PR 07/2023 -  DESPESA DE EXERCICIO ANTERIOR , SEM SALDO SUFICIENTE EMPENHO INSC. RP. COPIAS EXCEDENTES 2. SEMESTRE 2024.";"1";"Orçamento Fiscal";"A";"INICIAL (LOA)";"1";"Recursos Do Tesouro - Exercicio Corrente";"03";"TRANSF.DO IMP.DE RENDA AOS MUNIC.-REF.TRIBUT.";"25103";"SEC ESPECIAL DA RECEITA FEDERAL DO BRASIL";"04";"Administração";"122";"Administração geral";"0032";"PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2000";"ADMINISTRACAO DA UNIDADE";"Administração de unidade";"20000001";"ADMINISTRACAO DA UNIDADE       - NACIONAL";"0002";"ADMINISTRACAO DA UNIDADE - RFB";"00";"Sem informação";"SEM EMENDA";"3";"DESPESAS CORRENTES";"3";"Outras Despesas Correntes";"90";"Aplicações Diretas";"92";"Despesas de Exercícios Anteriores";"11060723575202319";"Pregão";"SI";"LEI 10.520 / 2002";"-2";"-1";"NAO SE APLICA";"263,84";"263,84";"1,0000"
