"Número Ano Orçamento","Código Órgão SEP","Descrição Órgão SEP","Código Tipo Administração","Nome Tipo Administração","Código Projeto / Atividade","Descrição Projeto / Atividade Elaboração","Código Órgão","Descrição Órgão","Código Grupo","Descrição Grupo","Valor Dotação Inicial-SEFAZ","Valor Proposta Orçamento-SEFAZ","Valor Liquidado-SEFAZ"
"2025","1000","ASSEMBLEIA LEGISLATIVA","1","ADMINISTRAÇÃO DIRETA","1215","EXPANSÃO E ADEQUAÇÃO DAS INSTALAÇÕES DO PALÁCIO 9 DE JULHO","1000","ASSEMBLEIA LEGISLATIVA","4","INVESTIMENTOS","10","10","0"
"2025","1000","ASSEMBLEIA LEGISLATIVA","1","ADMINISTRAÇÃO DIRETA","4817","FUNCIONAMENTO DO PROCESSO LEGISLATIVO","1000","ASSEMBLEIA LEGISLATIVA","4","INVESTIMENTOS","5000000","0","802570,27"
"2025","1000","ASSEMBLEIA LEGISLATIVA","1","ADMINISTRAÇÃO DIRETA","5701","GERENCIAMENTO DE RECURSOS DE TECNOLOGIA DA INFORMAÇÃO E SEGURANÇA CIBERNÉTICA","1000","ASSEMBLEIA LEGISLATIVA","4","INVESTIMENTOS","2000000","0","74052,44"
"2025","2000","TRIBUNAL DE CONTAS DO ESTADO","1","ADMINISTRAÇÃO DIRETA","1361","PLANO DE INVESTIMENTOS DO TRIBUNAL DE CONTAS","2000","TRIBUNAL DE CONTAS DO ESTADO","4","INVESTIMENTOS","9480961","9480961","2138838,81"
"2025","2000","TRIBUNAL DE CONTAS DO ESTADO","1","ADMINISTRAÇÃO DIRETA","1361","PLANO DE INVESTIMENTOS DO TRIBUNAL DE CONTAS","2000","TRIBUNAL DE CONTAS DO ESTADO","5","INVERSÕES FINANCEIRAS","10","10","0"
"2025","2000","TRIBUNAL DE CONTAS DO ESTADO","1","ADMINISTRAÇÃO DIRETA","4821","CONTROLE E FISCALIZAÇÃO FINANCEIRA E ORÇAMENTÁRIA","2000","TRIBUNAL DE CONTAS DO ESTADO","4","INVESTIMENTOS","1700000","1700000","2961741,31"
"2025","3000","TRIBUNAL DE JUSTIÇA","1","ADMINISTRAÇÃO DIRETA","1941","INFRAESTRUTURA DE PRÉDIOS JUDICIAIS","3000","TRIBUNAL DE JUSTIÇA","4","INVESTIMENTOS","75699996","55699996","3902236,52"
"2025","3000","TRIBUNAL DE JUSTIÇA","1","ADMINISTRAÇÃO DIRETA","1941","INFRAESTRUTURA DE PRÉDIOS JUDICIAIS","3000","TRIBUNAL DE JUSTIÇA","5","INVERSÕES FINANCEIRAS","20","20","0"
"2025","3000","TRIBUNAL DE JUSTIÇA","1","ADMINISTRAÇÃO DIRETA","4822","FUNCIONAMENTO DA ESCOLA PAULISTA DA MAGISTRATURA","3000","TRIBUNAL DE JUSTIÇA","4","INVESTIMENTOS","60000","60000","480000"
"2025","3000","TRIBUNAL DE JUSTIÇA","1","ADMINISTRAÇÃO DIRETA","4826","DISTRIBUIÇÃO DA JUSTIÇA","3000","TRIBUNAL DE JUSTIÇA","4","INVESTIMENTOS","79838305","79838305","11436430,19"
"2025","3000","TRIBUNAL DE JUSTIÇA","1","ADMINISTRAÇÃO DIRETA","4827","DESENVOLVIMENTO, IMPLEMENTAÇÃO E MANUTENÇÃO DE SISTEMAS DE INFORMAÇÃO","3000","TRIBUNAL DE JUSTIÇA","4","INVESTIMENTOS","365005872","365005872","194508506,86"
"2025","6000","TRIBUNAL DE JUSTIÇA MILITAR","1","ADMINISTRAÇÃO DIRETA","4832","JULGAMENTO DE PROCESSOS NA JUSTIÇA MILITAR DO ESTADO","6000","TRIBUNAL DE JUSTIÇA MILITAR","4","INVESTIMENTOS","4487270","4487270","98627,94"
"2025","6000","TRIBUNAL DE JUSTIÇA MILITAR","1","ADMINISTRAÇÃO DIRETA","4832","JULGAMENTO DE PROCESSOS NA JUSTIÇA MILITAR DO ESTADO","6000","TRIBUNAL DE JUSTIÇA MILITAR","5","INVERSÕES FINANCEIRAS","10","10","0"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","2272","DESENVOLVIMENTO DE AÇÕES DECORRENTES DE EMENDAS PARLAMENTARES, EXCETO SAÚDE","8000","SECRETARIA DA EDUCAÇÃO","4","INVESTIMENTOS","24937284","0","2895733,23"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","2494","MELHORIAS, MANUTENÇÃO E AMPLIAÇÃO DA REDE FÍSICA ESCOLAR","8000","SECRETARIA DA EDUCAÇÃO","4","INVESTIMENTOS","56523460","56523460","0"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","2761","AMPLIAÇÃO, ADEQUAÇÃO E GESTÃO, NÃO PEDAGÓGICA, DE ESCOLAS, VIA PPP","8000","SECRETARIA DA EDUCAÇÃO","4","INVESTIMENTOS","999100","999100","0"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","2761","AMPLIAÇÃO, ADEQUAÇÃO E GESTÃO, NÃO PEDAGÓGICA, DE ESCOLAS, VIA PPP","8000","SECRETARIA DA EDUCAÇÃO","5","INVERSÕES FINANCEIRAS","200","200","0"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","2764","CONSTRUÇÃO NOVAS ESCOLAS, VIA PPP, GESTÃO/OPERAÇÃO DEMANDAS NÃO PEDAGOGICAS","8000","SECRETARIA DA EDUCAÇÃO","4","INVESTIMENTOS","4000100","4000100","0"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","2764","CONSTRUÇÃO NOVAS ESCOLAS, VIA PPP, GESTÃO/OPERAÇÃO DEMANDAS NÃO PEDAGOGICAS","8000","SECRETARIA DA EDUCAÇÃO","5","INVERSÕES FINANCEIRAS","200","200","64481458,08"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","5156","GESTÃO E APRIMORAMENTO DO ATENDIMENTO ESPECIALIZADO","8000","SECRETARIA DA EDUCAÇÃO","4","INVESTIMENTOS","76100","76100","3034,98"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","5740","TRANSPORTE DE ESTUDANTES DA EDUCAÇÃO BÁSICA","8000","SECRETARIA DA EDUCAÇÃO","4","INVESTIMENTOS","40","40","0"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","5810","AÇÃO COOPERATIVA ESTADO-MUNICÍPIO PARA CONSTRUÇÕES OU AMPLIAÇÕES ESCOLARES","8000","SECRETARIA DA EDUCAÇÃO","4","INVESTIMENTOS","85322733","85322733","51974047,14"
"2025","8000","SECRETARIA DA EDUCAÇÃO","1","ADMINISTRAÇÃO DIRETA","6168","AVALIAÇÃO DOS RESULTADOS EDUCACIONAIS E PROVISÃO DE MATERIAIS DIDÁTICOS","8000","SECRETARIA DA EDUCAÇÃO","4","INVESTIMENTOS","","","0"
