"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"135168222112025NS000165";"135168222112025NE000007";"33906296";"TRANSPORTES, ENCOMENDAS, CARRETOS E FRETES";"-120533,54";"0,00";"0,00";"0,00"
"135192222112025NS001566";"135192222112025NE000178";"33914718";"CONTRIBUICAO PREVIDENCIARIA - SERVICOS TERCEIROS (PF)";"82,99";"0,00";"0,00";"0,00"
"135194222112025NS000176";"135194222112025NE000043";"33904708";"IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN";"688,11";"0,00";"0,00";"0,00"
"135194222112025NS000177";"135194222112025NE000043";"33904708";"IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN";"-20,00";"0,00";"0,00";"0,00"
"135626222112025NS000938";"135626222112024NE000376";"44905241";"EQUIPAMENTOS DE TIC - COMPUTADORES";"0,00";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312025NE000162";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"4440,00";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312025NE000161";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"2577,44";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312025NE000164";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"14132,53";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312025NE000146";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"2819,70";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312025NE000138";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"3832,41";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312025NE000131";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"695,60";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312024NE000381";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312024NE000345";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312024NE000288";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312024NE000184";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312024NE000141";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312024NE000110";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"153066152312025NS001549";"153066152312024NE000103";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"0,00"
"153079152322025NS013548";"153079152322025NE000101";"31911303";"CONTRIBUICAO PATRONAL PARA O RPPS";"-158131,50";"0,00";"0,00";"0,00"
"153079152322025NS013555";"153079152322025NE000101";"31911303";"CONTRIBUICAO PATRONAL PARA O RPPS";"-3379,18";"0,00";"0,00";"0,00"
"153081152332025NS000736";"153081152332023NE000136";"44905241";"EQUIPAMENTOS DE TIC - COMPUTADORES";"0,00";"0,00";"0,00";"0,00"
"153114152352025NS011486";"153114152352025NE000063";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"108,85";"0,00";"0,00";"0,00"
"153114152352025NS011486";"153114152352025NE000064";"33903943";"SERVICOS DE ENERGIA ELETRICA";"-108,85";"0,00";"0,00";"0,00"
"153808152322025NS000262";"153808152322025NE000001";"31911303";"CONTRIBUICAO PATRONAL PARA O RPPS";"-10819,68";"0,00";"0,00";"0,00"
"155591264112025NS000704";"155591264112024NE000181";"33903925";"TAXA DE ADMINISTRACAO";"0,00";"0,00";"0,00";"0,00"
"155591264112025NS000712";"155591264112025NE000003";"33903919";"MANUTENCAO E CONSERV. DE VEICULOS";"801,04";"0,00";"0,00";"0,00"
"155591264112025NS000713";"155591264112025NE000024";"33904708";"IMPOSTO S/SERVICOS DE QUALQUER NATUREZA-ISSQN";"0,31";"0,00";"0,00";"0,00"
"155900264432025NS002508";"155900264432025NE000892";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"1266,02";"0,00";"0,00";"0,00"
"158159264262025NS000896";"158159264262025NE000021";"33903943";"SERVICOS DE ENERGIA ELETRICA";"12942,41";"0,00";"0,00";"0,00"
"158159264262025NS000897";"158159264262024NE000162";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"0,00"
"158159264262025NS000900";"158159264262024NE000162";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"0,00"
"158275264092025NS001566";"158275264092023NE000279";"33903203";"MATERIAL DESTINADO A ASSISTENCIA SOCIAL";"0,00";"0,00";"0,00";"0,00"
"158319264052025NS000832";"158319264052025NE000051";"33903963";"SERVICOS GRAFICOS E EDITORIAIS";"921,99";"0,00";"0,00";"0,00"
"158319264052025NS000967";"158319264052025NE000022";"33903903";"COMISSOES E CORRETAGENS";"6013,79";"0,00";"0,00";"0,00"
"158327264192025NS002857";"158327264192025NE000004";"33903903";"COMISSOES E CORRETAGENS";"1579,87";"0,00";"0,00";"0,00"
