cnj,entidade_devedora,tipo_entidade,codigo_comunicado,idx_anexo,numero_edital,ano_edital,data_protocolo,numero_protocolo,codigo_acesso_esaj,arquivo_pdf,paginas_pdf,url_comunicado,url_esaj_consulta,status_acordo,fonte,observacao
9000766-30.2015.8.26.0500,PREFEITURA MUNICIPAL DE GUARULHOS,municipal,19842,0,01/2020,2020,,,,edital_19842_0_Edital_01_2020_da_Prefeitura_Municipal_de_Guarulho.pdf,2,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=19842&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000766-30.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000766-30.2015.8.26.0500,PREFEITURA MUNICIPAL DE GUARULHOS,municipal,19842,3,01/2025,2025,01/09/2025,WDEP25700071827,sIYrPEmN,edital_19842_3_Edital_01_2025_da_Prefeitura_Municipal_de_Guarulho.pdf,14,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=19842&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000766-30.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000766-30.2015.8.26.0500,PREFEITURA MUNICIPAL DE GUARULHOS,municipal,19842,4,02/2024,2024,30/10/2024,WDEP24700042702,LR1Jn6rh,edital_19842_4_Edital_02_2024_da_Prefeitura_Municipal_de_Guarulho.pdf,11,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=19842&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000766-30.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000891-95.2015.8.26.0500,PREFEITURA MUNICIPAL DE ROSANA,municipal,20128,0,,,,,1109662,edital_20128_0_Aditamento_do_Edital.pdf,4,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=20128&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000891-95.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000891-95.2015.8.26.0500,PREFEITURA MUNICIPAL DE ROSANA,municipal,20128,1,,,,WDEP21700005111,FA0462,edital_20128_1_Editais_da_Prefeitura_Municipal_de_Rosana.pdf,5,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=20128&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000891-95.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000891-95.2015.8.26.0500,PREFEITURA MUNICIPAL DE ROSANA,municipal,20128,2,01/2025,2025,,WDEP257000976,wO2tgHhj,edital_20128_2_Edital_01_2025_da_Prefeitura_Municipal_de_Rosana.pdf,18,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=20128&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000891-95.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000891-95.2015.8.26.0500,PREFEITURA MUNICIPAL DE ROSANA,municipal,20128,3,01/2023,2023,23/11/2023,WDEP23700056940,25E5471,edital_20128_3_Edital_de_acordo_n_01_2023.pdf,17,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=20128&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000891-95.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000191-22.2015.8.26.0500,PREFEITURA MUNICIPAL DE ANDRADINA,municipal,26998,0,01/2022,2022,,WDEP22700038231,,edital_26998_0_Edital_01_2022_da_Prefeitura_Municipal_de_Andradin.pdf,3,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=26998&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000191-22.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000191-22.2015.8.26.0500,PREFEITURA MUNICIPAL DE ANDRADINA,municipal,26998,1,01/2025,2025,,,6UxAoqA5,edital_26998_1_Edital_01_2025_da_Prefeitura_Municipal_de_Andradin.pdf,1,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=26998&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000191-22.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000191-22.2015.8.26.0500,PREFEITURA MUNICIPAL DE ANDRADINA,municipal,26998,2,01/2024,2024,16/05/2024,WDEP24700017589,CBLf7nAK,edital_26998_2_Edital_01_2024_da_Prefeitura_Municipal_de_Andradin.pdf,11,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=26998&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000191-22.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000191-22.2015.8.26.0500,PREFEITURA MUNICIPAL DE ANDRADINA,municipal,26998,3,,,20/09/2021,WDEP21700038850,14949D2,edital_26998_3_Edital_da_Prefeitura_Municipal_de_Andradina.pdf,2,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=26998&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000191-22.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000807-94.2015.8.26.0500,PREFEITURA MUNICIPAL DE CAMPINAS,municipal,32392,0,01/2021,2021,,,,edital_32392_0_Edital_de_Convoca_o_de_Acordos_n_01_2021_da_Prefei.pdf,8,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=32392&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000807-94.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000807-94.2015.8.26.0500,PREFEITURA MUNICIPAL DE CAMPINAS,municipal,32392,1,01/2024,2024,16/04/2024,WDEP24700011890,X3i2xLpc,edital_32392_1_Edital_de_Convoca_o_de_Acordos_n_01_2024_da_Prefei.pdf,6,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=32392&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000807-94.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000807-94.2015.8.26.0500,PREFEITURA MUNICIPAL DE CAMPINAS,municipal,32392,2,01/2025,2025,27/05/2025,WDEP25700056968,davpsuEB,edital_32392_2_Edital_de_Convoca_o_de_Acordos_n_01_2025_da_Prefei.pdf,6,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=32392&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000807-94.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000079-53.2015.8.26.0500,PREFEITURA MUNICIPAL DE OSASCO,municipal,32394,1,01/2025,2025,,WDEP25700057212,Rxow9sTv,edital_32394_1_Edital_01_2025_da_Prefeitura_Municipal_de_Osasco.pdf,12,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=32394&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000079-53.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
0097434-38.2013.8.26.0000,PREFEITURA MUNICIPAL DE OSASCO,municipal,32394,2,01/2021,2021,,,,edital_32394_2_Edital_de_Convoca_o_de_Acordos_n_01_2021_da_Prefei.pdf,7,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=32394&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=0097434-38.2013.8.26.0000,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000164-39.2015.8.26.0500,PREFEITURA MUNICIPAL DE MARÍLIA,municipal,32395,0,01/2025,2025,,WDEP257000096,s251b0Qe,edital_32395_0_Edital_01_2025_da_Prefeitura_Municipal_de_Mar_lia.pdf,8,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=32395&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000164-39.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
9000164-39.2015.8.26.0500,PREFEITURA MUNICIPAL DE MARÍLIA,municipal,32395,1,01/2023,2023,,WDEP237000480,24FA18A,edital_32395_1_Edital_de_Convoca_o_de_Acordos_n_01_2023_da_Prefei.pdf,3,https://www.tjsp.jus.br/Precatorios/Comunicados/Comunicado?codigoComunicado=32395&pagina=1,https://esaj.tjsp.jus.br/cpopg/search.do?cbPesquisa=NUMPROC&dadosConsulta.valorConsulta=9000164-39.2015.8.26.0500,EM_EDITAL,TJSP Edital de Acordo (PDF oficial),"Valores, deságio e credor estão em imagem do PDF (scan) - não extraídos nesta fase."
