entidade;ano_orcamentario;natureza;qtd_pendentes
UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS;2026;ALIMENTARES;48
UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS;2026;OUTRAS ESPECIES;8
USP - UNIVERSIDADE DE SÃO PAULO;2024;ALIMENTARES;1
USP - UNIVERSIDADE DE SÃO PAULO;2025;ALIMENTARES;5
USP - UNIVERSIDADE DE SÃO PAULO;2026;ALIMENTARES;60
USP - UNIVERSIDADE DE SÃO PAULO;2026;OUTRAS ESPECIES;3
CAMPREV - INSTITUTO DE PREVID. SOCIAL DO MUNIC. DE CAMPINAS;2025;ALIMENTARES;30
CAMPREV - INSTITUTO DE PREVID. SOCIAL DO MUNIC. DE CAMPINAS;2026;ALIMENTARES;24
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2018;ALIMENTARES;1
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2018;OUTRAS ESPECIES;7
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2019;ALIMENTARES;14
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2019;OUTRAS ESPECIES;6
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2020;ALIMENTARES;25
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2020;OUTRAS ESPECIES;4
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2021;ALIMENTARES;17
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2021;OUTRAS ESPECIES;1
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2022;ALIMENTARES;30
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2022;OUTRAS ESPECIES;2
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2023;ALIMENTARES;13
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2024;ALIMENTARES;2
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2024;OUTRAS ESPECIES;1
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2025;ALIMENTARES;8
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2025;OUTRAS ESPECIES;7
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2026;ALIMENTARES;2
INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE MOGI DAS CRUZES;2023;ALIMENTARES;1
