entidade;ano_orcamentario;qtd_pendentes
UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS;2026;56
USP - UNIVERSIDADE DE SÃO PAULO;2024;1
USP - UNIVERSIDADE DE SÃO PAULO;2025;5
USP - UNIVERSIDADE DE SÃO PAULO;2026;63
CAMPREV - INSTITUTO DE PREVID. SOCIAL DO MUNIC. DE CAMPINAS;2025;30
CAMPREV - INSTITUTO DE PREVID. SOCIAL DO MUNIC. DE CAMPINAS;2026;24
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2018;8
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2019;20
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2020;29
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2021;18
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2022;32
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2023;13
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2024;3
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2025;15
DAEA - DEPARTAMENTO DE ÁGUA E ESGOTO DE ARAÇATUBA;2026;2
INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE MOGI DAS CRUZES;2023;1
INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE MOGI DAS CRUZES;2024;1
INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE MOGI DAS CRUZES;2025;3
INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE MOGI DAS CRUZES;2026;3
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;2018;2591
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;2019;3421
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;2020;14825
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;2021;15719
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;2022;25271
