entidade;devedora_especifica;qtd_pendentes
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FAZENDA DO ESTADO DE SÃO PAULO;146418
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;IPESP - INSTITUTO DE PREVIDÊNCIA DO ESTADO DE SÃO PAULO;4444
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;SPPREV - SÃO PAULO PREVIDÊNCIA;21043
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;DER - DEPARTAMENTO DE ESTRADAS DE RODAGEM;3751
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;CBPM - CAIXA BENEFICENTE DA POLÍCIA MILITAR;6315
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;IAMSPE - INSTITUTO DE ASSIST. MÉDICA AO SERV. PÚBL. ESTADUAL;816
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;HOSPITAL DAS CLÍNICAS DA FACULDADE DE MEDICINA DA USP;212
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;CEETEPS - CENTRO ESTADUAL DE EDUCAÇÃO TECNOLÓGICA PAULA SOUZA;49
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;IPESP - INSTITUTO DE PAGAMENTOS ESPECIAIS DO ESTADO DE SÃO PAULO;181
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;IPESP - CARTEIRA DE PREV. DOS ECONOMISTAS DE SÃO PAULO;7
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;DEPARTAMENTO AEROVIÁRIO DO ESTADO DE SÃO PAULO;33
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;D.E.O.P. - SUCESSORA FAZENDA DO ESTADO DE SÃO PAULO;9
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;DAEE - DEPARTAMENTO DE ÁGUAS E ENERGIA ELÉTRICA;227
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;FUNDAÇÃO CASA - CENTRO DE ATENDIMENTO SOCIOEDUCATIVO AO ADOLESCENTE;43
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;D.E.O.P - SUCESSORA FAZENDA DO ESTADO DE SÃO PAULO;8
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;SUCEN - SUPERINTENDÊNCIA DE CONTROLE DE ENDEMIAS;153
FAZENDA DO ESTADO DE SÃO PAULO, AUTARQUIAS, FUNDAÇÕES E UNIVERSIDADES;PROCON -  FUNDAÇÃO DE PROTEÇÃO E DEFESA DO CONSUMIDOR;152
