UO_Cadastradora_Codigo,UO_Cadastradora_Nome,UO_Devedora_Codigo,UO_Devedora_Nome,Ano,Precatorio,Tipo_Causa,Valor_RS,conciliacao_status,conciliacao_tipo,cnj_processo_execucao,cnj_processo_originario,cnj_candidato,match_metodo,cnpj_entidade_devedora,causa_provavel,tribunal_cobertura,siop_chave,siop_tribunal,siop_data_ajuizamento,siop_data_autuacao,siop_tipo_despesa,siop_tributario,siop_natureza_despesa,siop_valor_original,siop_valor_atualizado,siop_fundef,siop_anos_decorridos,siop_class_tempo,siop_class_nfgc,siop_faixa_valor,siop_match_status
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1363102520254010000,FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e,1044686858,NAO_IDENTIFICADO,PENDENTE,,,0136310-25.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0806822,Tribunal Regional Federal da 1a. Região,"2003-12-03 00:00:00,000","2025-03-31 00:00:00,000",41,Não,33909100,10353638.33,10680023.421620805,Fundef,21,20 anos ou mais,OCC,Acima de R$ 10 milhões e até R$ 100 milhões,MATCH_VALOR_-4.1%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1248755420254010000,Reajuste da Tabela do SUS - Saúde - Serviços - Administrativo,962822245,NAO_IDENTIFICADO,PENDENTE,,,0124875-54.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0804535,Tribunal Regional Federal da 1a. Região,"2021-03-25 00:00:00,000","2025-03-27 00:00:00,000",21,Não,33909100,9820799.52,10130387.555525359,Não Fundef,4,Até 5 anos,OCC,Acima de R$ 10 milhões e até R$ 100 milhões,MATCH_VALOR_-3.0%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1346023720254010000,FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e,904279181,NAO_IDENTIFICADO,PENDENTE,,,0134602-37.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0923744,Tribunal Regional Federal da 5a. Região,"2010-05-05 00:00:00,000","2025-04-01 00:00:00,000",41,Não,33909100,9024388.58,9308870.7880534325,Fundef,14,De 10 até 15 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_-4.8%
10101,Supremo Tribunal Federal,71103,EFU - Sentenças Judiciais,2025,07,COMUM - FUNDEF,561755825,NAO_IDENTIFICADO,PENDENTE,,,,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0875177,Tribunal Regional Federal da 3a. Região,"2019-03-19 00:00:00,000","2024-11-07 00:00:00,000",11,Não,31909100,5604866.87,5781553.0675067045,Não Fundef,5,De 5 até 10 anos,Pessoal,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.2%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,7617735120244010000,Desapropriação Indireta - Intervenção na Propriedade - Administrativo,504641115,NAO_IDENTIFICADO,PENDENTE,,,0761773-51.2024.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0884243,Tribunal Regional Federal da 4a. Região,"2023-07-17 00:00:00,000","2025-02-25 00:00:00,000",21,Sim,33909100,5047197.37,5206303.7559418911,Não Fundef,1,Até 5 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_0.0%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1405566420254010000,Reajuste da Tabela do SUS - Saúde - Serviços - Administrativo,427737764,NAO_IDENTIFICADO,PENDENTE,,,0140556-64.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0808942,Tribunal Regional Federal da 1a. Região,"2019-02-27 00:00:00,000","2025-03-31 00:00:00,000",21,Não,33909100,44010906.4,45398293.44789958,Não Fundef,6,De 5 até 10 anos,OCC,Acima de R$ 10 milhões e até R$ 100 milhões,MATCH_VALOR_-2.1%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1324484620254010000,Reajuste da tabela do SUS,417703071,NAO_IDENTIFICADO,PENDENTE,,,0132448-46.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0814574,Tribunal Regional Federal da 1a. Região,"2019-02-26 00:00:00,000","2024-05-07 00:00:00,000",21,Não,33909100,3969296.59,4094423.5444005113,Não Fundef,5,De 5 até 10 anos,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_-0.0%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1405574920254010000,Reajuste da Tabela do SUS - Saúde - Serviços - Administrativo,370749594,NAO_IDENTIFICADO,PENDENTE,,,0140557-49.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0809518,Tribunal Regional Federal da 1a. Região,"2000-03-22 00:00:00,000","2025-03-31 00:00:00,000",21,Não,33909100,3651754.09,3766870.9267343674,Não Fundef,25,20 anos ou mais,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_-3.5%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,7617752120244010000,Desapropriação Indireta - Intervenção na Propriedade - Administrativo,334664975,NAO_IDENTIFICADO,PENDENTE,,,0761775-21.2024.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0934995,Tribunal Regional Federal da 6ª Região,"1995-09-12 00:00:00,000","2025-03-28 00:00:00,000",31,Não,45909100,3425462.51,3533445.7966027861,Não Fundef,29,20 anos ou mais,OCC,Acima de R$ 1 milhão e até R$ 10 milhões,MATCH_VALOR_-2.6%
12102,TRF - 1a. Região,71103,EFU - Sentenças Judiciais,2026,1019341320254010000,FUNDEF/Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e,318972544,NAO_IDENTIFICADO,PENDENTE,,,0101934-13.2025.4.01.9198,,,UO generica EFU - sem CNPJ especifico para busca,NAO_TESTADO,0807588,Tribunal Regional Federal da 1a. Região,"1999-10-01 00:00:00,000","2025-03-31 00:00:00,000",41,Não,33909100,32092374.2,33104044.895821586,Fundef,25,20 anos ou mais,OCC,Acima de R$ 10 milhões e até R$ 100 milhões,MATCH_VALOR_-4.4%
