UO_Cadastradora_Codigo;UO_Cadastradora_Nome;UO_Devedora_Codigo;UO_Devedora_Nome;Ano;Precatorio;Tipo_Causa;Valor_RS
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2024;01;ALIMENTAR;1161634
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2024;02;ALIMENTAR;129070
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;03;ALIMENTAR;5374210
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;04;ALIMENTAR;1022975
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;05;ALIMENTAR;511488
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;06;ALIMENTAR;320049
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;07;COMUM - FUNDEF;561755825
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;08;COMUM - ITR;1061306
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;09;COMUM;3817407
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;10;COMUM;11001721
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;11;COMUM;15632135
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;12;COMUM;6157399
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;13;COMUM;6157399
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;14;COMUM;22678422
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;15;COMUM;4681024
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;16;COMUM;5285462
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;17;COMUM;1321365
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;18;COMUM;1321365
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;19;COMUM;1321365
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;20;COMUM;1321365
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;21;COMUM;1028211
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;22;COMUM;1028211
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;23;COMUM;10681803
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;24;COMUM;1166998
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;25;COMUM;1166998
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;26;COMUM;1166998
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;27;COMUM;1166998
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;28;COMUM;1106776
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;29;COMUM;368925
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;30;COMUM;368925
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;31;COMUM;368925
10101;Supremo Tribunal Federal;71103;EFU - Sentenças Judiciais;2025;32;COMUM;1153601
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12969;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;205184
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12970;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;411397
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12971;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;411397
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12972;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;388588
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12973;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;367129
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12974;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;172952
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12975;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;185716
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12976;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;402251
11101;Superior Tribunal de Justiça;22101;M. Ag., Pec. e Abastecimento;2025;12977;Administrativo - Servidor Público Civil - Sistema Remuneratório e Benefícios;369979
11101;Superior Tribunal de Justiça;25101;M. da Fazenda;2024;12311;Administrativo - Servidor Público Civil - Reajustes de Remuneração, Proventos ou Pensão;93941
11101;Superior Tribunal de Justiça;25101;M. da Fazenda;2024;12312;Administrativo - Servidor Público Civil - Reajustes de Remuneração, Proventos ou Pensão;93374
11101;Superior Tribunal de Justiça;25101;M. da Fazenda;2024;12313;Administrativo - Servidor Público Civil - Reajustes de Remuneração, Proventos ou Pensão;93107
11101;Superior Tribunal de Justiça;25101;M. da Fazenda;2024;12322;Administrativo - Servidor Público Civil - Reajustes de Remuneração, Proventos ou Pensão;94348
11101;Superior Tribunal de Justiça;25101;M. da Fazenda;2024;12324;Administrativo - Servidor Público Civil - Reajustes de Remuneração, Proventos ou Pensão;97450
